bucket,topic,month,interest
sci_math,Chaos theory,202602,3
sci_math,Fractal,200401,54
sci_math,Fractal,200402,100
sci_math,Fractal,200403,54
sci_math,Fractal,200404,56
sci_math,Fractal,200405,54
sci_math,Fractal,200406,46
sci_math,Fractal,200407,43
sci_math,Fractal,200408,39
sci_math,Fractal,200409,46
sci_math,Fractal,200410,47
sci_math,Fractal,200411,47
sci_math,Fractal,200412,46
sci_math,Fractal,200501,42
sci_math,Fractal,200502,43
sci_math,Fractal,200503,43
sci_math,Fractal,200504,42
sci_math,Fractal,200505,41
sci_math,Fractal,200506,35
sci_math,Fractal,200507,32
sci_math,Fractal,200508,34
sci_math,Fractal,200509,34
sci_math,Fractal,200510,39
sci_math,Fractal,200511,39
sci_math,Fractal,200512,40
sci_math,Fractal,200601,35
sci_math,Fractal,200602,35
sci_math,Fractal,200603,35
sci_math,Fractal,200604,32
sci_math,Fractal,200605,31
sci_math,Fractal,200606,29
sci_math,Fractal,200607,27
sci_math,Fractal,200608,26
sci_math,Fractal,200609,30
sci_math,Fractal,200610,30
sci_math,Fractal,200611,30
sci_math,Fractal,200612,29
sci_math,Fractal,200701,26
sci_math,Fractal,200702,26
sci_math,Fractal,200703,27
sci_math,Fractal,200704,25
sci_math,Fractal,200705,27
sci_math,Fractal,200706,23
sci_math,Fractal,200707,23
sci_math,Fractal,200708,25
sci_math,Fractal,200709,24
sci_math,Fractal,200710,23
sci_math,Fractal,200711,23
sci_math,Fractal,200712,23
sci_math,Fractal,200801,21
sci_math,Fractal,200802,21
sci_math,Fractal,200803,21
sci_math,Fractal,200804,21
sci_math,Fractal,200805,21
sci_math,Fractal,200806,19
sci_math,Fractal,200807,19
sci_math,Fractal,200808,19
sci_math,Fractal,200809,18
sci_math,Fractal,200810,26
sci_math,Fractal,200811,27
sci_math,Fractal,200812,20
sci_math,Fractal,200901,20
sci_math,Fractal,200902,20
sci_math,Fractal,200903,22
sci_math,Fractal,200904,20
sci_math,Fractal,200905,21
sci_math,Fractal,200906,17
sci_math,Fractal,200907,16
sci_math,Fractal,200908,20
sci_math,Fractal,200909,19
sci_math,Fractal,200910,20
sci_math,Fractal,200911,23
sci_math,Fractal,200912,19
sci_math,Fractal,201001,20
sci_math,Fractal,201002,21
sci_math,Fractal,201003,21
sci_math,Fractal,201004,20
sci_math,Fractal,201005,21
sci_math,Fractal,201006,18
sci_math,Fractal,201007,16
sci_math,Fractal,201008,19
sci_math,Fractal,201009,21
sci_math,Fractal,201010,24
sci_math,Fractal,201011,23
sci_math,Fractal,201012,24
